C2324,1,0,JK,Total,Household_duties,39689,4721,34968,8297,822,7475,8229,843,7386,2007,234,1773,5965,855,5110,1649,266,1383,1743,254,1489,8016,671,7345,3783,776,3007
C2324,1,0,JK,Total,Dependent,113412,57086,56326,19292,8845,10447,18305,8470,9835,4519,2401,2118,19778,10558,9220,7064,4150,2914,5782,3181,2601,14475,7019,7456,24197,12462,11735
C2324,1,0,JK,Total,Pensioner,7688,5670,2018,1827,1287,540,1424,1066,358,227,175,52,1708,1279,429,176,139,37,245,192,53,1051,812,239,1030,720,310
C2324,1,0,JK,Total,Rentier,214,151,63,42,30,12,32,19,13,5,2,3,42,33,9,13,10,3,13,10,3,20,16,4,47,31,16
C2324,1,0,JK,Total,Beggar _Vagrants_etc.,834,603,231,124,85,39,100,69,31,27,18,9,168,129,39,70,49,21,66,50,16,89,60,29,190,143,47
C2324,1,0,JK,Total,Others,18051,8428,9623,2805,1180,1625,2926,1140,1786,895,408,487,3486,1942,1544,974,542,432,1149,603,546,3690,1466,2224,2126,1147,979
C2324,1,0,JK,Rural,Total,182583,85570,97013,33286,14412,18874,31942,13940,18002,9594,4908,4686,31589,15989,15600,9183,4881,4302,7955,3855,4100,30382,13150,17232,28652,14435,14217
C2324,1,0,JK,Rural,Student,45512,26456,19056,8679,4904,3775,9462,5308,4154,3587,2355,1232,6522,4039,2483,2064,1236,828,1462,846,616,10362,5727,4635,3374,2041,1333
C2324,1,0,JK,Rural,Household_duties,29271,3813,25458,5865,675,5190,5744,642,5102,1575,195,1380,4917,727,4190,1238,213,1025,1337,206,1131,5648,534,5114,2947,621,2326
C2324,1,0,JK,Rural,Dependent,88569,44898,43671,15336,7105,8231,13679,6466,7213,3605,1938,1667,16024,8655,7369,5020,2918,2102,4156,2211,1945,11048,5389,5659,19701,10216,9485
C2324,1,0,JK,Rural,Pensioner,5206,3734,1472,1206,803,403,903,661,242,152,116,36,1255,942,313,111,84,27,162,128,34,642,475,167,775,525,250
C2324,1,0,JK,Rural,Rentier,121,88,33,25,21,4,13,7,6,3,1,2,24,20,4,10,8,2,6,5,1,9,7,2,31,19,12
C2324,1,0,JK,Rural,Beggar _Vagrants_etc.,702,509,193,106,75,31,89,61,28,22,14,8,139,105,34,57,42,15,48,38,10,73,46,27,168,128,40
C2324,1,0,JK,Rural,Others,13202,6072,7130,2069,829,1240,2052,795,1257,650,289,361,2708,1501,1207,683,380,303,784,421,363,2600,972,1628,1656,885,771
C2324,1,0,JK,Urban,Total,57038,25316,31722,10881,4384,6497,12299,4989,7310,2539,1190,1349,7225,3556,3669,3561,1912,1649,3006,1577,1429,10719,4417,6302,6808,3291,3517
C2324,1,0,JK,Urban,Student,14221,7771,6450,3101,1643,1458,3763,2014,1749,866,505,361,1145,710,435,734,401,333,501,296,205,3398,1796,1602,713,406,307
